MC,N,d,alpha,energy,variance
1000,100,3,0.1,389.471,909.095
1000,100,3,0.478789,150.109,0.285524
1000,100,3,0.481562,150.128,0.271664
1000,100,3,0.482919,150.104,0.245592
1000,100,3,0.484153,150.089,0.207171
1000,100,3,0.48543,150.094,0.199118
1000,100,3,0.486468,150.073,0.149067
1000,100,3,0.487407,150.049,0.125367
1000,100,3,0.48825,150.034,0.104822
1000,100,3,0.488987,150.031,0.0855191
1000,100,3,0.489798,150.02,0.0883462
1000,100,3,0.490489,150.013,0.0697563
1000,100,3,0.491126,150.003,0.0601
1000,100,3,0.491705,150.02,0.0508519
1000,100,3,0.492236,150.009,0.0437083
1000,100,3,0.492823,149.995,0.0452582
1000,100,3,0.493342,150.021,0.0369712
1000,100,3,0.4938,150.003,0.0302469
1000,100,3,0.494227,150.007,0.0263199
1000,100,3,0.494607,150.009,0.0218111
1000,100,3,0.494992,150.019,0.0206724
1000,100,3,0.495311,150.01,0.0158572
1000,100,3,0.495629,149.998,0.014862
1000,100,3,0.495916,150.005,0.012512
1000,100,3,0.496194,150.005,0.0112895
1000,100,3,0.496426,150.007,0.00880084
1000,100,3,0.496685,149.996,0.00920464
1000,100,3,0.496899,149.999,0.00707492
1000,100,3,0.497121,149.996,0.00686541
1000,100,3,0.497302,150,0.00521091
1000,100,3,0.497485,149.999,0.00490504
1000,100,3,0.497647,149.999,0.00408317
1000,100,3,0.497806,150,0.00371282
1000,100,3,0.497946,149.994,0.00307565
1000,100,3,0.498085,150.002,0.00284065
1000,100,3,0.498205,149.998,0.00229356
1000,100,3,0.498333,149.996,0.00230067
1000,100,3,0.498441,150.001,0.00180477
1000,100,3,0.498546,149.999,0.00163399
1000,100,3,0.498643,150,0.00140544
1000,100,3,0.498737,149.998,0.00127265
1000,100,3,0.498816,150.001,0.000995455
1000,100,3,0.498894,149.997,0.00092658
1000,100,3,0.498964,150,0.000773627
1000,100,3,0.499035,149.999,0.000725846
1000,100,3,0.499095,149.998,0.000578331
1000,100,3,0.49916,150.001,0.000589111
1000,100,3,0.499213,150,0.000444426
1000,100,3,0.499271,150,0.000459772
1000,100,3,0.499318,150.002,0.000340595
1000,100,3,0.499362,150.001,0.000303147
1000,100,3,0.499405,149.999,0.000274402
