MC,N,d,alpha,energy,variance
100,500,3,0.1,1396.63,210074
100,500,3,0.975308,950.323,6794.36
100,500,3,0.956447,948.966,6258.9
100,500,3,0.947852,950.423,5713.55
100,500,3,0.939122,943.338,5660.54
100,500,3,0.93037,922.239,5531.07
100,500,3,0.9225,931.875,4844.61
100,500,3,0.912851,918.557,5798.99
100,500,3,0.904171,925.24,5063.4
100,500,3,0.896455,920.223,4378.82
100,500,3,0.887933,910.74,4718.02
100,500,3,0.878711,900.992,4965.57
100,500,3,0.8696,893.002,4756.76
100,500,3,0.861424,896.399,4139.12
100,500,3,0.85136,882.97,4952.05
100,500,3,0.843017,887.65,3961.2
100,500,3,0.833875,882.099,4211.68
100,500,3,0.82569,879.869,3645.15
100,500,3,0.817999,880.426,3320.42
100,500,3,0.808934,870.438,3799.43
100,500,3,0.800739,865.133,3314
100,500,3,0.791955,855.414,3435.87
100,500,3,0.783207,857.693,3299.93
100,500,3,0.775521,855.836,2792.91
100,500,3,0.767548,840.954,2802.16
100,500,3,0.759022,841.448,2891.28
100,500,3,0.750817,833.979,2675.98
100,500,3,0.741677,831.236,2867.4
100,500,3,0.732364,824.92,2794.8
100,500,3,0.723724,817.41,2473.96
100,500,3,0.715779,821.105,2175.14
100,500,3,0.708206,826.179,1986.82
100,500,3,0.701058,818.983,1797.94
100,500,3,0.692229,807.586,2132.13
100,500,3,0.6851,804.884,1633.75
100,500,3,0.677822,803.711,1596.67
100,500,3,0.671466,804.319,1331.15
100,500,3,0.664995,802.859,1299.73
100,500,3,0.65886,797.578,1179.29
100,500,3,0.652193,793.685,1227.38
100,500,3,0.645939,788.403,1096.69
100,500,3,0.639735,791.267,1037.5
100,500,3,0.633715,785.377,958.76
100,500,3,0.628535,788.338,785.382
100,500,3,0.622751,781.33,839.009
100,500,3,0.616472,774.24,865.317
100,500,3,0.610254,779.306,808.589
100,500,3,0.60502,776.154,640.717
100,500,3,0.600003,773.565,582.145
100,500,3,0.595609,777.792,483.32
100,500,3,0.591086,775.029,473.889
100,500,3,0.586584,771.796,447.417
100,500,3,0.582547,773.881,379.799
100,500,3,0.578099,768.8,397.476
100,500,3,0.574464,767.442,305.993
100,500,3,0.570276,766.155,335.073
100,500,3,0.566555,765.664,279.916
100,500,3,0.563132,763.903,242.956
100,500,3,0.559647,764.442,233.943
100,500,3,0.556376,761.332,206.728
100,500,3,0.552879,759.78,208.252
100,500,3,0.549492,760.757,188.548
100,500,3,0.546858,760.072,136.828
100,500,3,0.544473,759.943,117
100,500,3,0.541762,757.761,125.943
100,500,3,0.538952,757.101,122.258
100,500,3,0.536531,757.236,97.9731
100,500,3,0.534547,758.037,75.1226
100,500,3,0.532301,755.099,80.2479
100,500,3,0.530363,755.971,64.6351
100,500,3,0.528458,754.893,59.6033
100,500,3,0.526673,755.296,52.245
100,500,3,0.524967,754.715,46.7136
100,500,3,0.52329,753.964,42.914
100,500,3,0.521902,754.708,33.0768
100,500,3,0.520131,752.666,39.6458
100,500,3,0.518651,753.332,30.3872
100,500,3,0.517235,752.622,26.9031
100,500,3,0.516044,752.063,20.8778
100,500,3,0.515028,752.736,16.5671
100,500,3,0.513964,752.111,16.2279
100,500,3,0.513097,752.218,12.2785
100,500,3,0.512239,752.183,11.3814
100,500,3,0.511424,752.125,10.0963
100,500,3,0.510688,752.149,8.50875
100,500,3,0.509915,751.501,8.34718
100,500,3,0.509157,751.516,7.59256
100,500,3,0.508554,751.414,5.56808
100,500,3,0.50795,751.214,5.21287
100,500,3,0.50741,751.081,4.3287
100,500,3,0.506883,751.093,3.93365
100,500,3,0.506317,750.769,3.92064
100,500,3,0.505873,750.818,2.82132
100,500,3,0.505426,750.727,2.644
100,500,3,0.50507,750.905,1.94034
100,500,3,0.504719,750.763,1.78834
100,500,3,0.504397,750.732,1.52845
100,500,3,0.504057,750.458,1.50179
100,500,3,0.503766,750.482,1.18404
100,500,3,0.503458,750.396,1.16267
100,500,3,0.503231,750.508,0.78937
100,500,3,0.502991,750.446,0.775888
100,500,3,0.502784,750.476,0.623237
100,500,3,0.502577,750.39,0.577106
100,500,3,0.502392,750.349,0.477766
100,500,3,0.502213,750.339,0.429476
100,500,3,0.502062,750.333,0.334551
100,500,3,0.501897,750.267,0.339991
100,500,3,0.501757,750.282,0.266534
100,500,3,0.501622,750.244,0.238681
100,500,3,0.50149,750.238,0.213942
100,500,3,0.501377,750.174,0.169089
100,500,3,0.501291,750.222,0.118072
100,500,3,0.501186,750.132,0.135337
100,500,3,0.501106,750.158,0.0958142
100,500,3,0.501033,750.188,0.0801048
100,500,3,0.500951,750.121,0.0849863
100,500,3,0.500888,750.145,0.0600176
100,500,3,0.500822,750.09,0.05847
100,500,3,0.500768,750.121,0.0445054
100,500,3,0.500714,750.115,0.0413299
100,500,3,0.500663,750.105,0.0365658
100,500,3,0.500618,750.123,0.0297923
100,500,3,0.500577,750.133,0.0252461
100,500,3,0.500537,750.085,0.023427
100,500,3,0.5005,750.083,0.019964
100,500,3,0.500466,750.079,0.0167971
100,500,3,0.500432,750.074,0.0157407
100,500,3,0.500402,750.062,0.0130075
100,500,3,0.500371,750.043,0.0125729
100,500,3,0.500346,750.062,0.00928659
100,500,3,0.500323,750.049,0.00813012
100,500,3,0.5003,750.048,0.00724093
100,500,3,0.500279,750.039,0.00648912
100,500,3,0.500259,750.042,0.00537943
100,500,3,0.500238,750.035,0.00542872
100,500,3,0.500221,750.037,0.00413261
100,500,3,0.500203,750.025,0.00404596
100,500,3,0.500185,750.031,0.00350334
100,500,3,0.500173,750.025,0.00225599
100,500,3,0.50016,750.024,0.00229854
100,500,3,0.500147,750.015,0.00213226
100,500,3,0.500137,750.02,0.00139793
100,500,3,0.500127,750.017,0.00141462
100,500,3,0.500118,750.019,0.00106328
100,500,3,0.500109,750.015,0.00110055
100,500,3,0.500102,750.017,0.000774192
100,500,3,0.500096,750.019,0.000655825
100,500,3,0.500089,750.015,0.000617709
100,500,3,0.500083,750.017,0.000540989
100,500,3,0.500078,750.013,0.000464181
100,500,3,0.500072,750.011,0.00041276
100,500,3,0.500066,750.008,0.000414605
100,500,3,0.500061,750.008,0.00036247
100,500,3,0.500057,750.011,0.000235623
100,500,3,0.500054,750.01,0.000196702
100,500,3,0.500049,750.006,0.000230482
100,500,3,0.500045,750.006,0.000193687
100,500,3,0.500042,750.005,0.000171955
100,500,3,0.500039,750.006,0.000126381
100,500,3,0.500035,750.004,0.000130234
100,500,3,0.500033,750.004,9.72247e-05
100,500,3,0.50003,750.003,9.11183e-05
100,500,3,0.500027,750.004,6.83188e-05
100,500,3,0.500025,750.003,5.70844e-05
100,500,3,0.500024,750.003,4.23664e-05
100,500,3,0.500022,750.003,3.91996e-05
100,500,3,0.50002,750.003,3.6142e-05
100,500,3,0.500019,750.002,2.97136e-05
100,500,3,0.500018,750.003,2.5725e-05
100,500,3,0.500016,750.002,2.23494e-05
100,500,3,0.500015,750.002,1.93376e-05
100,500,3,0.500014,750.002,1.93121e-05
100,500,3,0.500013,750.001,1.43436e-05
100,500,3,0.500012,750.002,1.15023e-05
100,500,3,0.500011,750.002,9.8825e-06
100,500,3,0.50001,750.001,9.8832e-06
100,500,3,0.500009,750.001,8.48365e-06
100,500,3,0.500009,750.002,5.66919e-06
100,500,3,0.500008,750.001,5.05499e-06
100,500,3,0.500008,750.001,4.61529e-06
